182,175,141,172,83,178,94,229,126,186,179,151,233,145,233,100,124,232,182,119
201,104,114,194,145,119,231,105,154,225,94,165,225,197,167,196,189,165,179,233
183,226,116,231,142,148,210,240,240,246,229,86,149,85,132,192,94,81,83,156
167,106,237,148,117,171,134,209,89,131,80,100,220,126,227,81,100,233,126,240
148,99,238,157,137,157,229,236,101,192,166,214,104,81,227,190,168,187,85,128
221,154,241,167,214,0,180,242,236,153,173,182,249,115,0,91,154,90,152,173
94,230,139,80,196,129,103,154,81,219,158,238,130,109,131,187,87,177,134,244
211,84,143,203,248,231,205,199,210,124,91,93,117,130,95,216,235,214,242,120
100,200,247,123,152,163,195,246,136,247,96,97,165,181,83,211,121,168,114,132
139,249,131,93,248,131,224,112,247,250,178,88,123,157,169,173,102,84,132,90
81,105,209,107,139,163,121,171,141,190,192,171,141,111,120,236,206,87,147,156
88,114,240,177,124,136,160,220,108,180,243,183,143,146,129,86,247,126,183,95
235,249,211,173,175,81,156,159,83,188,213,125,115,213,133,250,139,133,185,132
219,83,164,225,133,239,0,127,117,84,88,134,0,239,106,191,123,102,115,195
241,80,211,224,120,181,183,0,0,0,0,0,233,174,207,126,127,94,125,232
163,193,247,102,237,88,226,123,130,180,165,213,83,228,91,174,95,119,152,163
174,131,170,208,179,174,160,161,113,199,149,190,147,121,218,132,116,120,103,163
133,230,233,127,164,171,106,162,151,232,182,235,203,113,218,247,150,120,236,99
116,236,228,155,94,172,124,158,122,144,101,99,168,80,84,150,239,244,88,90
180,188,167,208,102,181,87,130,215,90,114,155,185,81,142,234,83,218,100,165
